Round,Winning Number,Winning Color,Red Bet Win,Black Bet Win,Even Bet Win,Odd Bet Win,Zero Bet Win
1,22,Black,0,1,1,0,0
2,8,Black,0,1,1,0,0
3,33,Black,0,1,0,1,0
4,2,Black,0,1,1,0,0
5,24,Black,0,1,1,0,0
6,29,Black,0,1,0,1,0
7,25,Red,1,0,0,1,0
8,3,Red,1,0,0,1,0
9,18,Red,1,0,1,0,0
10,1,Red,1,0,0,1,0
11,29,Black,0,1,0,1,0
12,26,Black,0,1,1,0,0
13,36,Red,1,0,1,0,0
14,28,Black,0,1,1,0,0
15,35,Black,0,1,0,1,0
16,9,Red,1,0,0,1,0
17,13,Black,0,1,0,1,0
18,13,Black,0,1,0,1,0
19,9,Red,1,0,0,1,0
20,13,Black,0,1,0,1,0
21,36,Red,1,0,1,0,0
22,2,Black,0,1,1,0,0
23,33,Black,0,1,0,1,0
24,33,Black,0,1,0,1,0
25,33,Black,0,1,0,1,0
26,19,Red,1,0,0,1,0
27,22,Black,0,1,1,0,0
28,32,Red,1,0,1,0,0
29,15,Black,0,1,0,1,0
30,5,Red,1,0,0,1,0
31,11,Black,0,1,0,1,0
32,25,Red,1,0,0,1,0
33,18,Red,1,0,1,0,0
34,0,Green,0,0,0,0,1
35,10,Black,0,1,1,0,0
36,21,Red,1,0,0,1,0
37,26,Black,0,1,1,0,0
38,32,Red,1,0,1,0,0
39,14,Red,1,0,1,0,0
40,17,Black,0,1,0,1,0
41,32,Red,1,0,1,0,0
42,24,Black,0,1,1,0,0
43,2,Black,0,1,1,0,0
44,2,Black,0,1,1,0,0
45,0,Green,0,0,0,0,1
46,32,Red,1,0,1,0,0
47,35,Black,0,1,0,1,0
48,13,Black,0,1,0,1,0
49,13,Black,0,1,0,1,0
50,8,Black,0,1,1,0,0
51,25,Red,1,0,0,1,0
52,2,Black,0,1,1,0,0
53,0,Green,0,0,0,0,1
54,0,Green,0,0,0,0,1
55,28,Black,0,1,1,0,0
56,28,Black,0,1,1,0,0
57,8,Black,0,1,1,0,0
58,6,Black,0,1,1,0,0
59,2,Black,0,1,1,0,0
60,26,Black,0,1,1,0,0
61,18,Red,1,0,1,0,0
62,18,Red,1,0,1,0,0
63,11,Black,0,1,0,1,0
64,29,Black,0,1,0,1,0
65,32,Red,1,0,1,0,0
